amfi_code,sharpe_ratio
100016,0.142860543490869
100025,-0.14210991314404567
100033,0.519990685419702
101206,0.4226505998469551
101207,0.3499114587181264
101208,-0.12126071356941957
102885,0.3227732653445294
102886,0.20667928946638778
102887,0.42021356793395365
118632,0.44739599408990655
118633,0.31795213753138263
118634,0.46200053880679853
118635,0.34494195614446777
118636,-0.055110318170402114
119092,0.13266643996667293
119093,0.23655767199788016
119094,0.5601759550160991
119095,0.36105805787735273
119120,-0.07473722270680362
119551,0.49854614734164027
119552,0.3731154135537484
119598,0.6109739905401544
119599,0.3900316794567473
120503,0.3857109892793674
120504,0.4403612636457091
120505,0.5874541829103423
120506,0.3385158925852878
120507,-0.0629799936552708
120841,0.32727833904208103
120842,0.17471367295919585
120843,0.6000551745259449
120844,-0.08409579574143015
125497,0.4023216711438103
125498,0.3012847067142159
148567,0.5836260237633544
148568,0.445836851671402
148569,0.5134606908455847
149322,0.3337598177884889
149323,0.5621425067434032
149324,0.7015139189350621
