amfi_code,sortino_ratio
100016,0.09743608620426035
100025,-0.07145409905939933
100033,0.28000246795100664
101206,0.24602903540387588
101207,0.25192182556483983
101208,-0.07488257341374195
102885,0.16366869688420987
102886,0.17689236749747916
102887,0.2233146649786643
118632,0.2298794170338092
118633,0.18532906935706142
118634,0.35551696667572696
118635,0.16426706878825886
118636,-0.02834485299390285
119092,0.08724995781936153
119093,0.1527437109501566
119094,0.30281517535676256
119095,0.27309231990673793
119120,-0.03469296589282923
119551,0.23968411409815107
119552,0.20149640625008347
119598,0.43005239559242886
119599,0.31807722067124033
120503,0.18214031373888062
120504,0.2386243490262607
120505,0.3154131993903581
120506,0.20127310773335655
120507,-0.039560127934783244
120841,0.17776151130186701
120842,0.1341348029203081
120843,0.3270322257915095
120844,-0.051408147049318884
125497,0.22384865610130797
125498,0.2154605880439675
148567,0.24409372071134047
148568,0.2429628633393479
148569,0.307605232414109
149322,0.1872016829880706
149323,0.3226777779745051
149324,0.4253615085225908
